priority	asset_group	source_product_or_folder	source_drive_folder	asset_type	required_for_phase1	recommended_wp_media_title	target_pages	placement	alt_text	caption_or_nearby_copy	pre_publish_notes
P0	Ferdie proof	Product Testing root	https://drive.google.com/drive/folders/1YyIUpwPlniZhqkatgWhYCbdRYF7P92iR	image	yes	Firdous Ferdie Farhad Simply Rest Lab headshot	/ferdie-farhad/; review bylines; tester modules	Hero or author card	Firdous Ferdie Farhad, Simply Rest Lab lead hands-on tester	Firdous “Ferdie” Farhad is the author and lead hands-on tester for Simply Rest Lab.	Use supplied headshot from simplyrest-lab-proof-media-2026-06-25.zip; do not add unverified credentials or expose private Drive URLs.
P0	Lab proof	Master Testing Image	https://drive.google.com/drive/folders/11-GjwKIo9VSr5sEHW3MagoboWls-fuGf	image	yes	Simply Rest Lab mattress testing setup	/mattress-lab/	Hero or lab proof module	Simply Rest Lab mattress testing setup	Simply Rest Lab evaluates mattresses using hands-on testing, scorecards, and visible product evidence.	Use lab/testing still, not generic stock imagery.
P0	Methodology proof	Master Testing Image	https://drive.google.com/drive/folders/11-GjwKIo9VSr5sEHW3MagoboWls-fuGf	image	yes	Simply Rest mattress testing methodology	/how-we-test-mattresses/	Methodology intro or testing categories section	Simply Rest Lab mattress testing methodology setup	Testing categories include pressure relief, alignment, motion isolation, cooling, edge support, response, setup, and value.	Use testing process image or still; avoid private Drive embed.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	image	yes	Amerisleep AS3 mattress product photo	/mattress-reviews/amerisleep-as3/	Hero image	Amerisleep AS3 mattress tested by Simply Rest Lab	Amerisleep AS3 product photo used for the Simply Rest Lab review.	Compress before upload; use clean product image.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	video	yes	Amerisleep AS3 testing clip	/mattress-reviews/amerisleep-as3/	Testing Evidence module	Ferdie Farhad testing the Amerisleep AS3 mattress	Ferdie tests the Amerisleep AS3 for pressure relief, motion isolation, response, edge support, and comfort.	Use short clip; add poster image and caption; ensure it loads on mobile.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	video	yes	Amerisleep AS3 edge support test clip	/mattress-reviews/amerisleep-as3/	Edge Support section	Ferdie Farhad testing edge support on the Amerisleep AS3 mattress	The edge support test shows how stable the AS3 feels near the mattress perimeter.	Use short clip or still if video is too heavy.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	video	yes	Amerisleep AS3 response time test clip	/mattress-reviews/amerisleep-as3/	Response Time or Testing Evidence module	Amerisleep AS3 response time test by Simply Rest Lab	The response time test shows how quickly the AS3 rebounds after compression.	Use compressed clip; include caption for silent playback.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	image	yes	Amerisleep AS3 hand impression pressure relief test	/mattress-reviews/amerisleep-as3/	Pressure Relief section	Amerisleep AS3 hand impression test for pressure relief	The hand impression test shows surface compression and pressure-relief response.	Use image in pressure relief section.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	image	yes	Amerisleep AS3 side sleeper alignment test	/mattress-reviews/amerisleep-as3/	Spinal Alignment section	Amerisleep AS3 side sleeper alignment test	Side-sleeper testing helps show shoulder and hip cushioning plus alignment support.	Use visible side-sleeper image; do not overclaim medical alignment.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	image	yes	Amerisleep AS3 back sleeper support test	/mattress-reviews/amerisleep-as3/	Spinal Alignment section	Amerisleep AS3 back sleeper support test	Back-sleeper testing helps show how the mattress supports the midsection.	Use cautious comfort/support language.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	image	yes	Amerisleep AS3 stomach sleeper support test	/mattress-reviews/amerisleep-as3/	Consider Another Mattress If or Spinal Alignment section	Amerisleep AS3 stomach sleeper support test	Stomach-sleeper testing helps identify whether a firmer model may be a better fit.	Use as evidence for skip/watch-out guidance.
P0	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	image	yes	Amerisleep AS3 edge support photo	/mattress-reviews/amerisleep-as3/	Edge Support section	Amerisleep AS3 edge support test photo	Edge support testing checks sitting and lying stability near the mattress edge.	Still image can support or replace the edge clip.
P1	AS3 proof	AS3	https://drive.google.com/drive/folders/1oq2q-bF_Uj1bWXn0dK1J_n2ssd7LE71V	image	optional	Amerisleep AS3 secondary product photo	/mattress-reviews/amerisleep-as3/	Bottom Line or final verdict	Amerisleep AS3 mattress review product photo	Additional AS3 image for final review summary.	Optional if hero image already covers product clearly.
